,symbol,timeframe,entry_time,exit_time,type,lots,profit,entry_price,exit_price,signal_confidence,entry_spread,duration_minutes
count,120,120,120,120,120,120.0,120.0,120.0,120.0,120.0,120.0,120.0
unique,2,1,,,2,,,,,,,
top,GBPUSDm,M1,,,BUY,,,,,,,
freq,62,120,,,67,,,,,,,
mean,,,2024-04-01 00:59:30,2024-04-01 01:02:30,,0.055134427009972405,0.5814854647221025,1.1502598791660044,1.1382328859511814,0.774142481002483,0.00012383782615518402,3.0
min,,,2024-04-01 00:00:00,2024-04-01 00:03:00,,0.010977326869476263,-33.220584752074366,1.051093412252643,1.0502544148840833,0.6024489643622946,5.075030595217045e-05,3.0
25%,,,2024-04-01 00:29:45,2024-04-01 00:32:45,,0.03136515129123219,-8.354766786197217,1.1135963788421015,1.085093824583116,0.7085138020335064,8.396139849263661e-05,3.0
50%,,,2024-04-01 00:59:30,2024-04-01 01:02:30,,0.054000853524248854,0.9076192822886854,1.1486160819832862,1.1349937595095843,0.7822766652509341,0.0001261638897704803,3.0
75%,,,2024-04-01 01:29:15,2024-04-01 01:32:15,,0.08186653036557817,11.076168023504462,1.1917237135140186,1.1877406932985566,0.8553233397241774,0.00015644376141510347,3.0
max,,,2024-04-01 01:59:00,2024-04-01 02:02:00,,0.0999088618664288,31.421150903322374,1.2458854849716519,1.2491094418319468,0.8975652359342281,0.00019965870201887098,3.0
std,,,,,,0.027004961777586562,14.372458646258181,0.052075956478459876,0.05866876355526558,0.08725896576393959,4.3917962385784054e-05,0.0
